2025-12-14T10:21:37.931823+00:00 | LOCAL | CENTRAL_HEARTBEAT_ERROR | err=TypeError("kafka_send_cp() missing 1 required positional argument: 'payload'")
2025-12-14T10:21:42.932150+00:00 | LOCAL | CENTRAL_HEARTBEAT_ERROR | err=TypeError("kafka_send_cp() missing 1 required positional argument: 'payload'")
2025-12-14T10:21:47.932579+00:00 | LOCAL | CENTRAL_HEARTBEAT_ERROR | err=TypeError("kafka_send_cp() missing 1 required positional argument: 'payload'")
2025-12-14T10:21:52.933002+00:00 | LOCAL | CENTRAL_HEARTBEAT_ERROR | err=TypeError("kafka_send_cp() missing 1 required positional argument: 'payload'")
2025-12-14T10:21:57.933478+00:00 | LOCAL | CENTRAL_HEARTBEAT_ERROR | err=TypeError("kafka_send_cp() missing 1 required positional argument: 'payload'")
2025-12-14T10:22:02.933869+00:00 | LOCAL | CENTRAL_HEARTBEAT_ERROR | err=TypeError("kafka_send_cp() missing 1 required positional argument: 'payload'")
2025-12-14T10:22:07.934301+00:00 | LOCAL | CENTRAL_HEARTBEAT_ERROR | err=TypeError("kafka_send_cp() missing 1 required positional argument: 'payload'")
2025-12-14T10:22:12.934724+00:00 | LOCAL | CENTRAL_HEARTBEAT_ERROR | err=TypeError("kafka_send_cp() missing 1 required positional argument: 'payload'")
2025-12-14T10:22:17.935113+00:00 | LOCAL | CENTRAL_HEARTBEAT_ERROR | err=TypeError("kafka_send_cp() missing 1 required positional argument: 'payload'")
2025-12-14T10:22:22.935462+00:00 | LOCAL | CENTRAL_HEARTBEAT_ERROR | err=TypeError("kafka_send_cp() missing 1 required positional argument: 'payload'")
2025-12-14T10:22:27.935902+00:00 | LOCAL | CENTRAL_HEARTBEAT_ERROR | err=TypeError("kafka_send_cp() missing 1 required positional argument: 'payload'")
2025-12-14T10:22:32.936307+00:00 | LOCAL | CENTRAL_HEARTBEAT_ERROR | err=TypeError("kafka_send_cp() missing 1 required positional argument: 'payload'")
2025-12-14T10:22:37.936711+00:00 | LOCAL | CENTRAL_HEARTBEAT_ERROR | err=TypeError("kafka_send_cp() missing 1 required positional argument: 'payload'")
